movie_name,movie_id,year,genre,rating,director_id,star_id,votes,description,normalized_rating,normalized_votes
Glass Onion,tt11564570,2022.0,"['Comedy', ' Crime', ' Drama']",7.2,/name/nm0426059/,"/name/nm0185819/,/name/nm0001570/,/name/nm0005028/,/name/nm1176985/",333315.0,Famed Southern detective Benoit Blanc travels to Greece for his latest case.,0.5744680851063831,0.09057990568839898
The Batman,tt1877830,2022.0,"['Action', ' Crime', ' Drama']",7.8,/name/nm0716257/,"/name/nm1500155/,/name/nm2368789/,/name/nm0942482/,/name/nm0268199/",672146.0,"When a sadistic serial killer begins murdering key political figures in Gotham, Batman is forced to investigate the city's hidden corruption and question his family's involvement.",0.7021276595744681,0.22213895915558307
The Godfather,tt0068646,1972.0,"['Crime', ' Drama']",9.2,/name/nm0000338/,"/name/nm0000008/,/name/nm0000199/,/name/nm0001001/,/name/nm0000473/",1875646.0,The aging patriarch of an organized crime dynasty in postwar New York City transfers control of his clandestine empire to his reluctant youngest son.,1.0,0.689425957239454
Knives Out,tt8946378,2019.0,"['Comedy', ' Crime', ' Drama']",7.9,/name/nm0426059/,"/name/nm0185819/,/name/nm0262635/,/name/nm1869101/,/name/nm0000130/",705622.0,"A detective investigates the death of the patriarch of an eccentric, combative family.",0.7234042553191491,0.23513679841429155
The Wolf of Wall Street,tt0993846,2013.0,"['Biography', ' Comedy', ' Crime']",8.2,/name/nm0000217/,"/name/nm0000138/,/name/nm1706767/,/name/nm3053338/,/name/nm0000190/",1430476.0,"Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government.",0.7872340425531914,0.5165783021193902
Pulp Fiction,tt0110912,1994.0,"['Crime', ' Drama']",8.9,/name/nm0000233/,"/name/nm0000237/,/name/nm0000235/,/name/nm0000168/,/name/nm0000246/",2074027.0,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.",0.9361702127659577,0.7664520162065304
The Dark Knight,tt0468569,2008.0,"['Action', ' Crime', ' Drama']",9.0,/name/nm0634240/,"/name/nm0000288/,/name/nm0005132/,/name/nm0001173/,/name/nm0000323/",2675531.0,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.",0.9574468085106385,1.0
American Psycho,tt0144084,2000.0,"['Crime', ' Drama', ' Horror']",7.6,/name/nm0366004/,"/name/nm0000288/,/name/nm0857620/,/name/nm0524197/,/name/nm0756083/",636221.0,"A wealthy New York City investment banking executive, Patrick Bateman, hides his alternate psychopathic ego from his co-workers and friends as he delves deeper into his violent, hedonistic fantasies.",0.6595744680851064,0.20819023841926146
John Wick,tt2911666,2014.0,"['Action', ' Crime', ' Thriller']",7.4,/name/nm0821432/,"/name/nm0500610/,/name/nm0000206/,/name/nm0638824/,/name/nm0654295/,/name/nm0000353/",644257.0,An ex-hit-man comes out of retirement to track down the gangsters that killed his dog and took his car.,0.6170212765957448,0.21131040320247874
The Gentlemen,tt8367814,2019.0,"['Action', ' Comedy', ' Crime']",7.8,/name/nm0005363/,"/name/nm0000190/,/name/nm0402271/,/name/nm1890784/,/name/nm0834989/",348209.0,"An American expat tries to sell off his highly profitable marijuana empire in London, triggering plots, schemes, bribery and blackmail in an attempt to steal his domain out from under him.",0.7021276595744681,0.09636284922762721
F9: The Fast Saga,tt5433138,2021.0,"['Action', ' Crime', ' Thriller']",5.2,/name/nm0510912/,"/name/nm0004874/,/name/nm0735442/,/name/nm0108287/,/name/nm0879085/",136715.0,Dom and the crew must take on an international terrorist who turns out to be Dom and Mia's estranged brother.,0.148936170212766,0.01424536158928055
Nobody,tt7888964,2021.0,"['Action', ' Crime', ' Drama']",7.4,/name/nm5820154/,"/name/nm0644022/,/name/nm0148516/,/name/nm0001567/,/name/nm0000502/",262223.0,"A docile family man slowly reveals his true character after his house gets burgled by two petty thieves, which, coincidentally, leads him into a bloody war with a Russian crime boss.",0.6170212765957448,0.0629767754285082
