movie_id,movie_name,year,certificate,runtime,genre,rating,description,director,director_id,star,star_id,votes,gross(in $)
tt15679400,Knock at the Cabin,2023,R,100 min,"Horror, Mystery, Thriller",6.4,"While vacationing, a girl and her parents are taken hostage by armed strangers who demand that the family make a choice to avert the apocalypse.",M. Night Shyamalan,/name/nm0796117/,"Dave Bautista, 
Jonathan Groff, 
Rupert Grint, 
Nikki Amuka-Bird","/name/nm1176985/,/name/nm2676147/,/name/nm0342488/,/name/nm0025458/",17991.0,
tt9764362,The Menu,2022,R,107 min,"Horror, Thriller",7.2,"A young couple travels to a remote island to eat at an exclusive restaurant where the chef has prepared a lavish menu, with some shocking surprises.",Mark Mylod,/name/nm0617042/,"Ralph Fiennes, 
Anya Taylor-Joy, 
Nicholas Hoult, 
Hong Chau","/name/nm0000146/,/name/nm5896355/,/name/nm0396558/,/name/nm2186865/",232052.0,
tt8760708,M3GAN,2022,PG-13,102 min,"Horror, Sci-Fi, Thriller",6.4,A robotics engineer at a toy company builds a life-like doll that begins to take on a life of its own.,Gerard Johnstone,/name/nm2067421/,"Allison Williams, 
Violet McGraw, 
Ronny Chieng, 
Amie Donald","/name/nm4129745/,/name/nm8627157/,/name/nm5307044/,/name/nm13143634/",62458.0,
tt13051810,Viking Wolf,2022,TV-MA,97 min,"Horror, Thriller",5.1,"Thale (17) has just moved with her parents to a small town after her mother has a new job in the local police. After a student is killed brutally at a party Thale attends, she becomes a key witness. Was the killer an animal? A wolf?",Stig Svendsen,/name/nm1457169/,"Liv Mjönes, 
Elli Rhiannon Müller Osborne, 
Arthur Hakalahti, 
Sjur Vatne Brean","/name/nm1203571/,/name/nm9602953/,/name/nm7416233/,/name/nm8447868/",3872.0,
tt10365998,Infinity Pool,2023,R,117 min,"Crime, Horror, Mystery",6.5,"James and Em Foster are enjoying an all-inclusive beach vacation in the fictional island of La Tolqa, when a fatal accident exposes the resort's perverse subculture of hedonistic tourism, reckless violence and surreal horrors.",Brandon Cronenberg,/name/nm0188722/,"Alexander Skarsgård, 
Mia Goth, 
Cleopatra Coleman, 
Dunja Sepcic","/name/nm0002907/,/name/nm5301405/,/name/nm1671147/,/name/nm0091841/",6955.0,
tt17663992,Scream VI,2023,,123 min,"Horror, Mystery, Thriller",,"In the next installment, the survivors of the Ghostface killings leave Woodsboro behind and start a fresh chapter in New York City.","Matt Bettinelli-Olpin, 
Tyler Gillett",/name/nm2366012/,"Melissa Barrera, 
Courteney Cox, 
Jenna Ortega, 
Jasmin Savoy Brown","/name/nm2419470/,/name/nm4574440/,/name/nm0001073/,/name/nm4911194/,/name/nm5506401/",,
tt14138650,The Pale Blue Eye,2022,R,128 min,"Crime, Horror, Mystery",6.6,"A world-weary detective is hired to investigate the murder of a West Point cadet. Stymied by the cadets' code of silence, he enlists one of their own to help unravel the case - a young man the world would come to know as Edgar Allan Poe.",Scott Cooper,/name/nm0178376/,"Christian Bale, 
Harry Melling, 
Simon McBurney, 
Timothy Spall","/name/nm0000288/,/name/nm0577982/,/name/nm0564402/,/name/nm0001758/",85087.0,
tt13560574,X,2022,R,105 min,"Horror, Mystery, Thriller",6.6,"In 1979, a group of young filmmakers set out to make an adult film in rural Texas, but when their reclusive, elderly hosts catch them in the act, the cast find themselves fighting for their lives.",Ti West,/name/nm1488800/,"Mia Goth, 
Jenna Ortega, 
Brittany Snow, 
Kid Cudi","/name/nm5301405/,/name/nm4911194/,/name/nm0811242/,/name/nm3264596/",113560.0,
tt19623240,Winnie the Pooh: Blood and Honey,2023,,84 min,Horror,4.7,"After Christopher Robin abandons them for college, Pooh and Piglet embark on a bloody rampage as they search for a new source of food.",Rhys Frake-Waterfield,/name/nm6294482/,"Maria Taylor, 
Craig David Dowsett, 
Chris Cordell, 
Natasha Tosini","/name/nm10791266/,/name/nm13109503/,/name/nm12283443/,/name/nm13522085/",4579.0,
tt13280054,Blood,2022,,108 min,"Horror, Thriller",5.3,"Jess, a separated mother and nurse, moves with her daughter and young son Owen back into her old farmhouse. Shortly after settling in, Owen is bitten by the dog, resulting in a mysterious infection from the bite.",Brad Anderson,/name/nm0026442/,"Michelle Monaghan, 
Skeet Ulrich, 
Finlay Wojtak-Hissong, 
June B. Wilde","/name/nm1157358/,/name/nm0000240/,/name/nm9840989/,/name/nm0672413/",1229.0,
tt21307994,Skinamarink,2022,Not Rated,100 min,Horror,5.1,"Two children wake up in the middle of the night to find their father is missing, and all the windows and doors in their home have vanished.",Kyle Edward Ball,/name/nm9689976/,"Lucas Paul, 
Dali Rose Tetreault, 
Ross Paul, 
Jaime Hill","/name/nm13857303/,/name/nm13857304/,/name/nm10504964/,/name/nm10212813/",6633.0,
tt15791034,Barbarian,2022,R,102 min,"Horror, Mystery, Thriller",7.0,A woman staying at an Airbnb discovers that the house she has rented is not what it seems.,Zach Cregger,/name/nm1199107/,"Georgina Campbell, 
Bill Skarsgård, 
Justin Long, 
Matthew Patrick Davis","/name/nm3569284/,/name/nm0803889/,/name/nm0519043/,/name/nm1830723/",131276.0,
tt18925334,Pearl,2022,R,103 min,Horror,7.0,"In 1918, a young woman on the brink of madness pursues stardom in a desperate attempt to escape the drudgery, isolation and lovelessness of life on her parents' farm.",Ti West,/name/nm1488800/,"Mia Goth, 
David Corenswet, 
Tandi Wright, 
Matthew Sunderland","/name/nm5301405/,/name/nm4825178/,/name/nm0942858/,/name/nm0839146/",44083.0,
tt15474916,Smile,2022,R,115 min,"Horror, Mystery, Thriller",6.6,"After witnessing a bizarre, traumatic incident involving a patient, a psychiatrist becomes increasingly convinced she is being threatened by an uncanny entity.",Parker Finn,/name/nm6475689/,"Sosie Bacon, 
Jessie T. Usher, 
Kyle Gallner, 
Robin Weigert","/name/nm1788739/,/name/nm1900772/,/name/nm0973177/,/name/nm0917848/",103422.0,
tt10954984,Nope,2022,R,130 min,"Horror, Mystery, Sci-Fi",6.9,The residents of a lonely gulch in inland California bear witness to an uncanny and chilling discovery.,Jordan Peele,/name/nm1443502/,"Daniel Kaluuya, 
Keke Palmer, 
Brandon Perea, 
Michael Wincott","/name/nm2257207/,/name/nm1551130/,/name/nm5155952/,/name/nm0000699/",200040.0,
tt14121726,Jeepers Creepers: Reborn,2022,R,88 min,"Horror, Mystery, Thriller",2.5,"Forced to travel with her boyfriend, Laine begins to experience premonitions associated with the urban myth of The Creeper. She believes that something supernatural has been summoned - and that she is at the center of it all.",Timo Vuorensola,/name/nm1993322/,"Sydney Craven, 
Imran Adams, 
Jarreau Benjamin, 
Peter Brooke","/name/nm7373540/,/name/nm10458635/,/name/nm5119075/,/name/nm0111730/",9806.0,
tt10168670,Bones and All,2022,R,131 min,"Drama, Horror, Romance",6.9,"Maren, a young woman, learns how to survive on the margins of society.",Luca Guadagnino,/name/nm0345174/,"Timothée Chalamet, 
Taylor Russell, 
Mark Rylance, 
Kendle Coffey","/name/nm3154303/,/name/nm5347988/,/name/nm0753314/,/name/nm12912851/",33735.0,
