movie_id,movie_name,year,certificate,runtime,genre,rating,description,director,director_id,star,star_id,votes,gross(in $)
tt5635026,Peter Pan & Wendy,2023,PG,106 min,"Action, Adventure, Comedy",,Live-action adaptation of J.M. Barrie's classic tale of a boy who wouldn't grow up and recruits three young siblings in London to join him on a magical adventure to the enchanted Neverland island.,David Lowery,/name/nm1108007/,"Alexander Molony, 
Ever Anderson, 
Joshua Pickering, 
Jacobi Jupe","/name/nm9898029/,/name/nm8349839/,/name/nm11018369/,/name/nm12408604/",,
tt3915174,Puss in Boots: The Last Wish,2022,PG,102 min,"Animation, Adventure, Comedy",7.9,"When Puss in Boots discovers that his passion for adventure has taken its toll and he has burned through eight of his nine lives, he launches an epic journey to restore them by finding the mythical Last Wish.","Joel Crawford, 
Januel Mercado",/name/nm3150455/,"Antonio Banderas, 
Salma Hayek, 
Harvey Guillén, 
Florence Pugh","/name/nm2591093/,/name/nm0000104/,/name/nm0000161/,/name/nm2957490/,/name/nm6073955/",93203.0,168464485.0
tt12823454,Your Place or Mine,2023,PG-13,109 min,"Comedy, Romance",5.6,Two long-distance best friends change each other's lives when she decides to pursue a lifelong dream and he volunteers to keep an eye on her teenage son.,Aline Brosh McKenna,/name/nm0112459/,"Reese Witherspoon, 
Ashton Kutcher, 
Zoe Chao, 
Jesse Williams","/name/nm0000702/,/name/nm0005110/,/name/nm3856316/,/name/nm0930898/",26216.0,
tt5971474,The Little Mermaid,2023,PG,,"Adventure, Family, Fantasy",,"A young mermaid makes a deal with a sea witch, to trade her beautiful voice for human legs so she can discover the world above water and impress a prince.",Rob Marshall,/name/nm0551128/,"Halle Bailey, 
Jonah Hauer-King, 
Melissa McCarthy, 
Javier Bardem","/name/nm1782991/,/name/nm5999355/,/name/nm0565250/,/name/nm0000849/",,
tt15333984,Somebody I Used to Know,2023,R,106 min,"Comedy, Romance",5.7,"On a trip to her hometown, workaholic Ally reminisces with her ex Sean and starts to question everything about the person she's become. Things only get more confusing when she meets Cassidy, who reminds her of the person she used to be.",Dave Franco,/name/nm2002649/,"Alison Brie, 
Jay Ellis, 
Kiersey Clemons, 
Danny Pudi","/name/nm1555340/,/name/nm1337350/,/name/nm4169922/,/name/nm2209821/",4807.0,
tt0120338,Titanic,1997,PG-13,194 min,"Drama, Romance",7.9,"A seventeen-year-old aristocrat falls in love with a kind but poor artist aboard the luxurious, ill-fated R.M.S. Titanic.",James Cameron,/name/nm0000116/,"Leonardo DiCaprio, 
Kate Winslet, 
Billy Zane, 
Kathy Bates","/name/nm0000138/,/name/nm0000701/,/name/nm0000708/,/name/nm0000870/",1202799.0,659325379.0
tt6718170,The Super Mario Bros. Movie,2023,PG,92 min,"Animation, Adventure, Comedy",,The story of The Super Mario Bros. on their journey through the Mushroom Kingdom,"Aaron Horvath, 
Michael Jelenic",/name/nm1739338/,"Chris Pratt, 
Anya Taylor-Joy, 
Charlie Day, 
Jack Black","/name/nm2398585/,/name/nm0695435/,/name/nm5896355/,/name/nm0206359/,/name/nm0085312/",,
tt14826022,You People,2023,R,117 min,"Comedy, Romance",5.5,"Follows a new couple and their families, who find themselves examining modern love and family dynamics amidst clashing cultures, societal expectations and generational differences.",Kenya Barris,/name/nm1244069/,"Jonah Hill, 
Lauren London, 
Eddie Murphy, 
Julia Louis-Dreyfus","/name/nm1706767/,/name/nm1988575/,/name/nm0000552/,/name/nm0000506/",50494.0,
tt14402146,Empire of Light,2022,R,115 min,"Drama, Romance",6.6,"A drama about the power of human connection during turbulent times, set in an English coastal town in the early 1980s.",Sam Mendes,/name/nm0005222/,"Olivia Colman, 
Micheal Ward, 
Colin Firth, 
Toby Jones","/name/nm1469236/,/name/nm7906702/,/name/nm0000147/,/name/nm0429363/",11642.0,
tt14596320,Spin Me Round,2022,Unrated,104 min,"Comedy, Romance",5.2,"A woman wins an all-expenses-paid trip to a company's gorgeous ""institute"" outside of Florence, and also the chance to meet the restaurant chain's wealthy and charismatic owner. She finds a different adventure than the one she imagined.",Jeff Baena,/name/nm1337885/,"Alison Brie, 
Jake Picking, 
Stella Chestnut, 
Lil Rel Howery","/name/nm1555340/,/name/nm4917623/,/name/nm6699059/,/name/nm2577076/",3436.0,
tt3774694,Love,2015,TV-MA,135 min,"Drama, Romance",6.1,"Murphy is an American living in Paris who enters a highly sexually and emotionally charged relationship with Electra. Unaware of the effect it will have on their relationship, they invite their pretty neighbor into their bed.",Gaspar Noé,/name/nm0637615/,"Aomi Muyock, 
Karl Glusman, 
Klara Kristin, 
Juan Saavedra","/name/nm7312806/,/name/nm3194762/,/name/nm7312807/,/name/nm7476955/",61244.0,
tt9411972,Where the Crawdads Sing,2022,PG-13,125 min,"Drama, Mystery, Romance",7.2,A woman who raised herself in the marshes of the Deep South becomes a suspect in the murder of a man with whom she was once involved.,Olivia Newman,/name/nm3229507/,"Daisy Edgar-Jones, 
Taylor John Smith, 
Harris Dickinson, 
David Strathairn","/name/nm8402992/,/name/nm4973896/,/name/nm6170168/,/name/nm0000657/",85330.0,90230760.0
tt13430858,What's Love Got to Do with It?,2022,,108 min,"Comedy, Romance",6.6,"In London, an award-winning film-maker documents her best friend's journey into an assisted marriage in line with his family's Pakistani heritage. In the process, she challenges her own attitude towards relationships.",Shekhar Kapur,/name/nm0001408/,"Lily James, 
Emma Thompson, 
Shazad Latif, 
Oliver Chris","/name/nm4141252/,/name/nm0000668/,/name/nm3691746/,/name/nm0159631/",1788.0,
tt10648342,Thor: Love and Thunder,2022,PG-13,118 min,"Action, Adventure, Comedy",6.3,"Thor enlists the help of Valkyrie, Korg and ex-girlfriend Jane Foster to fight Gorr the God Butcher, who intends to make the gods extinct.",Taika Waititi,/name/nm0169806/,"Chris Hemsworth, 
Natalie Portman, 
Christian Bale, 
Tessa Thompson","/name/nm1165110/,/name/nm0000204/,/name/nm0000288/,/name/nm1935086/",349821.0,343256830.0
tt9686790,Shotgun Wedding,2022,R,100 min,"Action, Comedy, Romance",5.4,Darcy and Tom gather their families for the ultimate destination wedding but when the entire wedding party is taken hostage the bride and groom must save their loved ones--if they don't kill each other first.,Jason Moore,/name/nm0601337/,"Jennifer Lopez, 
Josh Duhamel, 
Lenny Kravitz, 
Jennifer Coolidge","/name/nm0000182/,/name/nm0241049/,/name/nm0005107/,/name/nm0177639/",26319.0,
tt12374656,Emily,2022,R,130 min,"Biography, Drama, Romance",6.9,"""Emily"" imagines the transformative, exhilarating, and uplifting journey to womanhood of a rebel and a misfit, one of the world's most famous, enigmatic, and provocative writers, who died, too soon, at age 30.",Frances O'Connor,/name/nm0640323/,"Emma Mackey, 
Oliver Jackson-Cohen, 
Fionn Whitehead, 
Alexandra Dowling","/name/nm8076281/,/name/nm2719825/,/name/nm7887725/,/name/nm5093301/",3892.0,
