movie_id,movie_name,year,certificate,runtime,genre,rating,description,director,director_id,star,star_id,votes,gross(in $)
tt9114286,Black Panther: Wakanda Forever,2022,PG-13,161 min,"Action, Adventure, Drama",6.9,The people of Wakanda fight to protect their home from intervening world powers as they mourn the death of King T'Challa.,Ryan Coogler,/name/nm3363032/,"Letitia Wright, 
Lupita Nyong'o, 
Danai Gurira, 
Winston Duke","/name/nm4004793/,/name/nm2143282/,/name/nm1775091/,/name/nm6328300/",204965.0,
tt1630029,Avatar: The Way of Water,2022,PG-13,192 min,"Action, Adventure, Fantasy",7.8,"Jake Sully lives with his newfound family formed on the extrasolar moon Pandora. Once a familiar threat returns to finish what was previously started, Jake must work with Neytiri and the army of the Na'vi race to protect their home.",James Cameron,/name/nm0000116/,"Sam Worthington, 
Zoe Saldana, 
Sigourney Weaver, 
Stephen Lang","/name/nm0941777/,/name/nm0757855/,/name/nm0000244/,/name/nm0002332/",295177.0,
tt6710474,Everything Everywhere All at Once,2022,R,139 min,"Action, Adventure, Comedy",8.0,A middle-aged Chinese immigrant is swept up into an insane adventure in which she alone can save existence by exploring other universes and connecting with the lives she could have led.,"Dan Kwan, 
Daniel Scheinert",/name/nm3453283/,"Michelle Yeoh, 
Stephanie Hsu, 
Jamie Lee Curtis, 
Ke Huy Quan","/name/nm3215397/,/name/nm0000706/,/name/nm3513533/,/name/nm0000130/,/name/nm0702841/",327912.0,
tt8760708,M3GAN,2022,PG-13,102 min,"Horror, Sci-Fi, Thriller",6.4,A robotics engineer at a toy company builds a life-like doll that begins to take on a life of its own.,Gerard Johnstone,/name/nm2067421/,"Allison Williams, 
Violet McGraw, 
Ronny Chieng, 
Amie Donald","/name/nm4129745/,/name/nm8627157/,/name/nm5307044/,/name/nm13143634/",62493.0,
tt10954600,Ant-Man and the Wasp: Quantumania,2023,PG-13,125 min,"Action, Adventure, Comedy",6.6,"Scott Lang and Hope Van Dyne, along with Hank Pym and Janet Van Dyne, explore the Quantum Realm, where they interact with strange creatures and embark on an adventure that goes beyond the limits of what they thought was possible.",Peyton Reed,/name/nm0715636/,"Paul Rudd, 
Evangeline Lilly, 
Jonathan Majors, 
Kathryn Newton","/name/nm0748620/,/name/nm1431940/,/name/nm3718007/,/name/nm1105980/",5707.0,
tt10365998,Infinity Pool,2023,R,117 min,"Crime, Horror, Mystery",6.5,"James and Em Foster are enjoying an all-inclusive beach vacation in the fictional island of La Tolqa, when a fatal accident exposes the resort's perverse subculture of hedonistic tourism, reckless violence and surreal horrors.",Brandon Cronenberg,/name/nm0188722/,"Alexander Skarsgård, 
Mia Goth, 
Cleopatra Coleman, 
Dunja Sepcic","/name/nm0002907/,/name/nm5301405/,/name/nm1671147/,/name/nm0091841/",7028.0,
tt1825683,Black Panther,2018,PG-13,134 min,"Action, Adventure, Sci-Fi",7.3,"T'Challa, heir to the hidden but advanced kingdom of Wakanda, must step forward to lead his people into a new future and must confront a challenger from his country's past.",Ryan Coogler,/name/nm3363032/,"Chadwick Boseman, 
Michael B. Jordan, 
Lupita Nyong'o, 
Danai Gurira","/name/nm1569276/,/name/nm0430107/,/name/nm2143282/,/name/nm1775091/",785830.0,700059566.0
tt0499549,Avatar,2009,PG-13,162 min,"Action, Adventure, Fantasy",7.9,A paraplegic Marine dispatched to the moon Pandora on a unique mission becomes torn between following his orders and protecting the world he feels is his home.,James Cameron,/name/nm0000116/,"Sam Worthington, 
Zoe Saldana, 
Sigourney Weaver, 
Michelle Rodriguez","/name/nm0941777/,/name/nm0757855/,/name/nm0000244/,/name/nm0735442/",1322718.0,760507625.0
tt6718170,The Super Mario Bros. Movie,2023,PG,,"Animation, Adventure, Comedy",,The story of The Super Mario Bros. on their journey through the Mushroom Kingdom,"Aaron Horvath, 
Michael Jelenic",/name/nm1739338/,"Chris Pratt, 
Anya Taylor-Joy, 
Charlie Day, 
Jack Black","/name/nm2398585/,/name/nm0695435/,/name/nm5896355/,/name/nm0206359/,/name/nm0085312/",,
tt13539646,The Wandering Earth II,2023,,173 min,"Action, Adventure, Drama",8.0,"Humans built huge engines on the surface of the earth to find a new home. But the road to the universe is perilous. In order to save earth, young people once again have to step forward to start a race against time for life and death.",Frant Gwo,/name/nm4914792/,"Andy Lau, 
Zina Blahusova, 
Jing Wu, 
Clara Lee","/name/nm0490489/,/name/nm1927842/,/name/nm0943104/,/name/nm4788761/",7083.0,
tt6443346,Black Adam,2022,PG-13,125 min,"Action, Adventure, Fantasy",6.4,"Nearly 5,000 years after he was bestowed with the almighty powers of the Egyptian gods--and imprisoned just as quickly--Black Adam is freed from his earthly tomb, ready to unleash his unique form of justice on the modern world.",Jaume Collet-Serra,/name/nm1429471/,"Dwayne Johnson, 
Aldis Hodge, 
Pierce Brosnan, 
Noah Centineo","/name/nm0425005/,/name/nm0388038/,/name/nm0000112/,/name/nm3170207/",222948.0,
tt0816692,Interstellar,2014,PG-13,169 min,"Adventure, Drama, Sci-Fi",8.6,A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.,Christopher Nolan,/name/nm0634240/,"Matthew McConaughey, 
Anne Hathaway, 
Jessica Chastain, 
Mackenzie Foy","/name/nm0000190/,/name/nm0004266/,/name/nm1567113/,/name/nm3237775/",1859284.0,188020017.0
tt8041270,Jurassic World: Dominion,2022,PG-13,147 min,"Action, Adventure, Sci-Fi",5.6,"Four years after the destruction of Isla Nublar, Biosyn operatives attempt to track down Maisie Lockwood, while Dr Ellie Sattler investigates a genetically engineered swarm of giant insects.",Colin Trevorrow,/name/nm1119880/,"Chris Pratt, 
Bryce Dallas Howard, 
Laura Dern, 
Sam Neill","/name/nm0695435/,/name/nm0397171/,/name/nm0000368/,/name/nm0000554/",171789.0,
tt1392170,The Hunger Games,2012,PG-13,142 min,"Action, Adventure, Sci-Fi",7.2,Katniss Everdeen voluntarily takes her younger sister's place in the Hunger Games: a televised competition in which two teenagers from each of the twelve Districts of Panem are chosen at random to fight to the death.,Gary Ross,/name/nm0002657/,"Jennifer Lawrence, 
Josh Hutcherson, 
Liam Hemsworth, 
Stanley Tucci","/name/nm2225369/,/name/nm1242688/,/name/nm2955013/,/name/nm0001804/",927509.0,408010692.0
tt1160419,Dune,2021,PG-13,155 min,"Action, Adventure, Drama",8.0,A noble family becomes embroiled in a war for control over the galaxy's most valuable asset while its heir becomes troubled by visions of a dark future.,Denis Villeneuve,/name/nm0898288/,"Timothée Chalamet, 
Rebecca Ferguson, 
Zendaya, 
Oscar Isaac","/name/nm3154303/,/name/nm0272581/,/name/nm3918035/,/name/nm1209966/",649353.0,108327830.0
tt0439572,The Flash,2023,,,"Action, Adventure, Fantasy",,"Barry Allen uses his super speed to change the past, but his attempt to save his family creates a world without super heroes, forcing him to race for his life in order to save the future.",Andy Muschietti,/name/nm0615592/,"Ben Affleck, 
Michael Shannon, 
Michael Keaton, 
Ezra Miller","/name/nm0000255/,/name/nm0788335/,/name/nm0000474/,/name/nm3009232/",,
tt10954984,Nope,2022,R,130 min,"Horror, Mystery, Sci-Fi",6.9,The residents of a lonely gulch in inland California bear witness to an uncanny and chilling discovery.,Jordan Peele,/name/nm1443502/,"Daniel Kaluuya, 
Keke Palmer, 
Brandon Perea, 
Michael Wincott","/name/nm2257207/,/name/nm1551130/,/name/nm5155952/,/name/nm0000699/",200056.0,
tt10648342,Thor: Love and Thunder,2022,PG-13,118 min,"Action, Adventure, Comedy",6.3,"Thor enlists the help of Valkyrie, Korg and ex-girlfriend Jane Foster to fight Gorr the God Butcher, who intends to make the gods extinct.",Taika Waititi,/name/nm0169806/,"Chris Hemsworth, 
Natalie Portman, 
Christian Bale, 
Tessa Thompson","/name/nm1165110/,/name/nm0000204/,/name/nm0000288/,/name/nm1935086/",344340.0,
tt1375666,Inception,2010,PG-13,148 min,"Action, Adventure, Sci-Fi",8.8,"A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster.",Christopher Nolan,/name/nm0634240/,"Leonardo DiCaprio, 
Joseph Gordon-Levitt, 
Elliot Page, 
Ken Watanabe","/name/nm0000138/,/name/nm0330687/,/name/nm0680983/,/name/nm0913822/",2373707.0,292576195.0
tt10872600,Spider-Man: No Way Home,2021,PG-13,148 min,"Action, Adventure, Fantasy",8.2,"With Spider-Man's identity now revealed, Peter asks Doctor Strange for help. When a spell goes wrong, dangerous foes from other worlds start to appear, forcing Peter to discover what it truly means to be Spider-Man.",Jon Watts,/name/nm1218281/,"Tom Holland, 
Zendaya, 
Benedict Cumberbatch, 
Jacob Batalon","/name/nm4043618/,/name/nm3918035/,/name/nm1212722/,/name/nm8188622/",770509.0,804747988.0
